# Frame ID, Frame Timestamp, Command Timestamp
10,14210.470435457,14210.63236239
13,14210.975357087,14211.144769487
17,14211.633551396,14211.801214445
22,14212.470801676,14212.63688651
25,14212.986013497,14213.166936597
30,14213.875328401,14214.048117504
34,14214.577129797,14214.757307147
38,14215.284442954,14215.456013281
50,14216.543372201,14216.733738764
55,14217.46755126,14217.650711037
79,14219.225003207,14219.418088039
83,14220.00411514,14220.196364855
88,14220.949794429,14221.056295151
92,14221.338312078,14221.425261484
96,14221.6759249,14221.759422022
