# Frame ID, Received Frame ID, Gap, Received Time, Send Time, Server FPS, Received FPS, Server CPS, Received CPS, FPS Ratio, CPS Ratio, Bitrate
5,2,3,14209.230657141,14209.127296386,8.029929345379326,360.96939047462325,2.152928584293774,0.0,0.0222454578068825,0.0,5000 
17,10,7,14210.694372931,14210.632245838,7.858810373194551,6.153794689184429,0.6831927392135377,0.0,1.277067365768111,0.0,5500.0 
21,13,8,14211.181704364,14211.144647959,8.224133494386875,5.619205356053943,2.0519915857765922,0.6049432860766943,1.463575892546171,0.294807878487352,4400.0 
27,17,10,14211.911080612,14211.801138494,8.01968209626451,6.618393910525927,1.3710345007005773,1.9515732819773755,1.2117263198115131,1.4234311981063583,3520.0 
33,22,11,14212.643294953,14212.636774796,7.989468985047814,5.9577697196607335,1.365720314401494,1.523356966662695,1.3410167497213665,1.115423817452904,3520.0 
38,25,13,14213.263922779,14213.166863133,8.210119958037069,5.824841878808705,1.6112716157855584,1.1966416515325025,1.409500915021611,0.7426691066912964,3520.0 
45,30,15,14214.127915637,14214.048018026,8.61511018307593,6.023992598684091,1.1574169748524015,1.8866141606732905,1.4301329296051681,1.6300211606226696,3520.0 
47,32,15,14214.37093979,14214.323022914,8.209454579294281,5.821955224241008,4.114817344923231,1.1348407484260894,1.4100854889973025,0.2757937116762255,3520.0 
51,34,17,14214.857085325,14214.75721366,8.471043774159517,5.614205223741453,2.0569971911801757,1.1348407484260894,1.5088589455791557,0.5516977627835209,3520.0 
56,38,18,14215.471516757,14215.455921846,8.305664879615524,5.591965964335202,1.6275209045646073,1.4100600733124908,1.4852853062032072,0.8663852300500611,3520.0 
60,0,60,14215.971123597,14215.936781561,8.19644303550583,5.573640843416284,2.001573877565668,1.4312168611922331,1.4705725154837814,0.7150457333770222,3520.0 
61,40,21,14216.08559827,14215.936861381,8.73495735518329,5.573640843416284,8.735556728873712,1.4312168611922331,1.5671905672754693,0.1638380821753031,3520.0 
62,0,62,14216.203515914,14216.119915475,8.480281847929048,5.5401805388503425,8.480495081801509,1.4312168611922331,1.5306869132623633,0.1687657203249271,3520.0 
63,40,23,14216.316117797,14216.119972111,8.88009073178386,5.5401805388503425,8.880846157783875,1.4312168611922331,1.6028522300875399,0.1611577135516306,3520.0 
64,0,64,14216.437678507,14216.297390363,8.227069961108876,5.640863366443385,8.226342212033826,1.4312168611922331,1.4584770852721642,0.17397973781088164,3520.0 
65,40,25,14216.556974039,14216.297457896,8.382905153856141,5.640863366443385,8.382543614440607,1.4312168611922331,1.4861032096123323,0.170737776863657,3520.0 
67,50,17,14216.798462562,14216.73363134,8.064696999396734,5.816368126537436,4.1409835448104735,1.4312168611922331,1.3865520242092653,0.3456224459007691,3520.0 
74,55,19,14217.6668999,14217.650608947,8.01405042544035,5.473596685951354,1.1514935577307348,0.7826407262788752,1.4641287777028544,0.6796744289401294,3520.0 
80,0,80,14218.392784115,14218.324778398,8.570879839261034,5.449683257089432,1.3776301775613637,1.090545515327366,1.572729906478743,0.7916097753156179,3520.0 
81,58,23,14218.519328682,14218.324844918,7.902473176194526,5.449683257089432,7.902354274938762,1.090545515327366,1.4500793538623162,0.1380026100305174,3520.0 
82,0,82,14218.656119842,14218.523610851,7.310656072959801,5.0585611156285335,7.310413918510037,1.090545515327366,1.4452046552078557,0.1491769860754525,3520.0 
83,58,25,14218.777084125,14218.523674343,8.537163081908075,5.0585611156285335,8.266903049395598,1.090545515327366,1.6876662922055692,0.1319170563403543,3520.0 
89,79,10,14219.502622957,14219.418015297,8.301764903749913,4.94948408059478,1.3782859798760927,1.090545515327366,1.6772990413886308,0.7912331194324458,3520.0 
93,82,11,14219.985898192,14219.922757341,8.822377805969616,4.959126802483594,2.0692142439235766,0.5658102367909257,1.779018395244755,0.2734420751512201,3520.0 
95,83,12,14220.241939448,14220.196246631,7.985622174752342,5.247316825220767,3.90562058483778,0.5658102367909257,1.5218486782368754,0.14487076368541482,3520.0 
